iteration,fitness,mean fitness
0,7.998,0.4
1,7.998,0.4
2,7.998,0.66
3,7.998,0.569
4,7.998,1.06
5,7.998,0.956
6,13.786,1.095
7,18.015,3.156
8,18.015,1.184
9,29.25,2.933
10,29.25,4.426
11,29.25,2.067
12,29.25,3.541
13,29.25,2.105
14,29.25,2.359
15,29.25,3.809
16,29.25,2.311
17,29.25,3.671
18,29.25,5.033
19,32.041,6.808
20,32.041,2.417
21,43.734,7.04
22,50.278,7.494
23,50.278,11.434
24,50.278,3.665
25,50.394,8.225
26,50.394,4.399
27,50.394,8.562
28,51.017,7.495
29,51.017,7.406
30,51.017,9.449
31,52.389,12.149
32,52.389,8.754
33,52.389,17.843
34,52.389,7.134
35,53.813,18.458
36,53.813,20.577
37,53.813,8.893
38,53.813,11.866
39,53.813,15.389
40,53.813,6.894
41,53.959,11.265
42,53.959,19.156
43,53.959,12.032
44,53.959,13.085
45,53.959,4.69
46,53.959,12.975
47,53.959,6.091
48,55.084,20.05
49,55.084,10.381
50,55.084,12.59
51,55.084,8.077
52,55.084,18.541
53,55.084,8.978
54,57.45,7.749
55,57.45,11.765
56,57.45,7.681
57,57.45,7.197
58,57.45,7.918
59,65.849,11.912
60,65.849,10.49
61,65.849,17.131
62,105.588,11.618
63,105.588,9.578
64,127.821,36.399
65,127.821,29.957
66,136.441,25.409
67,136.441,30.94
68,146.804,33.949
69,158.385,46.343
70,158.385,35.153
71,158.385,23.929
72,158.385,39.901
73,158.385,34.74
74,158.385,31.318
75,159.276,25.437
76,159.276,23.732
77,159.276,23.738
78,159.276,30.261
79,159.276,14.826
80,159.276,24.301
81,159.276,25.301
82,159.276,27.725
83,159.276,25.574
84,159.276,30.984
85,159.276,31.125
86,159.276,19.308
87,159.276,26.184
88,159.276,27.772
89,176.354,35.864
90,176.354,35.11
91,176.354,28.991
92,176.354,31.568
93,176.354,32.047
94,176.354,24.889
95,176.354,26.964
96,176.354,30.197
97,176.354,21.551
98,176.354,36.014
99,176.354,26.233
