iteration,fitness,mean fitness
0,1.888,0.094
1,1.888,0.094
2,1.888,0.094
3,2.413,0.215
4,25.238,1.383
5,25.238,1.309
6,25.238,1.262
7,25.238,1.684
8,25.238,2.576
9,25.238,1.262
10,32.416,2.883
11,32.416,1.621
12,32.416,3.659
13,32.416,3.081
14,32.416,2.203
15,43.634,4.435
16,43.634,2.783
17,43.634,3.251
18,58.987,5.131
19,58.987,2.949
20,58.987,5.796
21,58.987,4.494
22,58.987,4.593
23,58.987,7.492
24,58.987,3.93
25,58.987,3.991
26,58.987,5.025
27,58.987,6.978
28,58.987,5.129
29,58.987,4.105
30,58.987,3.181
31,58.987,3.743
32,58.987,2.949
33,58.987,3.814
34,58.987,3.327
35,58.987,7.755
36,58.987,9.185
37,58.987,5.746
38,58.987,4.904
39,58.987,6.241
40,58.987,7.187
41,58.987,4.329
42,58.987,2.949
43,58.987,3.492
44,58.987,4.993
45,58.987,3.88
46,58.987,4.214
47,58.987,4.565
48,58.987,5.214
49,58.987,6.786
50,58.987,3.779
51,58.987,5.241
52,58.987,5.733
53,58.987,5.993
54,58.987,3.296
55,58.987,4.924
56,58.987,4.192
57,58.987,3.341
58,58.987,5.13
59,58.987,3.05
60,58.987,3.474
61,58.987,4.767
62,58.987,4.837
63,58.987,4.894
64,58.987,5.608
65,58.987,3.723
66,58.987,4.377
67,58.987,3.383
68,58.987,6.051
69,58.987,3.601
70,58.987,2.949
71,58.987,8.196
72,58.987,6.227
73,58.987,2.949
74,58.987,5.391
75,58.987,3.557
76,58.987,4.564
77,58.987,2.949
78,58.987,5.918
79,58.987,3.883
80,58.987,2.949
81,58.987,4.11
82,58.987,3.502
83,58.987,4.91
84,58.987,3.19
85,58.987,4.12
86,58.987,4.146
87,58.987,6.359
88,58.987,2.949
89,58.987,10.185
90,58.987,6.538
91,58.987,6.988
92,58.987,3.092
93,58.987,3.825
94,58.987,2.949
95,58.987,6.561
96,58.987,2.984
97,58.987,5.284
98,58.987,7.421
99,58.987,4.033
