iteration,fitness,mean fitness
0,46.253,26.396
1,46.253,21.669
2,46.253,28.831
3,46.704,34.704
4,46.704,22.851
5,48.328,27.158
6,48.328,25.502
7,48.328,29.92
8,48.328,30.941
9,48.328,35.753
10,48.328,30.154
11,48.61,33.256
12,48.61,36.817
13,48.61,35.044
14,48.689,34.532
15,49.935,37.471
16,49.935,40.201
17,49.935,44.875
18,49.935,45.293
19,49.935,41.936
20,49.935,36.953
21,49.935,43.191
22,49.935,41.33
23,49.935,44.019
24,49.935,44.885
25,49.935,43.888
26,49.935,45.599
27,49.935,45.55
28,51.458,45.873
29,52.101,47.667
30,52.101,45.747
31,52.101,44.405
32,52.101,47.664
33,52.101,44.812
34,52.101,47.439
35,52.101,44.586
36,52.101,47.105
37,52.101,42.034
38,52.101,43.968
39,52.101,41.647
40,52.101,43.193
41,52.101,45.23
42,53.119,41.061
43,53.119,41.002
44,53.119,45.833
45,53.119,46.02
46,53.119,45.408
47,53.119,46.563
48,53.119,45.724
49,53.119,38.684
50,53.119,42.308
51,53.119,43.853
52,54.702,46.107
53,54.702,38.793
54,54.702,41.357
55,54.702,46.041
56,54.702,43.191
57,54.702,40.833
58,54.702,36.253
59,54.702,42.524
60,54.702,34.018
61,54.702,40.683
62,54.702,42.89
63,54.702,41.99
64,54.702,43.363
65,54.702,44.298
66,54.702,47.333
67,54.702,47.043
68,54.702,44.269
69,54.702,47.758
70,54.702,48.389
71,54.702,47.743
72,54.702,46.451
73,54.702,45.546
74,54.702,42.814
75,54.797,44.393
76,54.797,47.209
77,54.797,47.029
78,54.797,45.62
79,54.797,42.816
80,54.797,48.487
81,54.797,45.544
82,54.797,48.784
83,54.797,46.563
84,54.797,48.888
85,54.797,48.133
86,54.797,47.903
87,54.797,48.007
88,54.797,47.401
89,54.797,47.021
90,54.797,47.729
91,54.797,45.789
92,54.797,43.084
93,54.797,46.207
94,54.797,44.036
95,54.797,41.975
96,54.797,44.652
97,54.797,46.235
98,54.797,45.419
99,54.797,44.601
100,54.797,43.83
101,54.797,45.901
102,54.797,46.251
103,54.797,45.744
104,54.797,47.365
105,54.797,45.693
106,54.797,45.787
107,54.797,46.736
108,54.797,45.165
109,54.797,44.426
110,54.797,45.041
111,54.797,46.78
112,54.797,46.75
113,54.797,42.866
114,54.797,42.479
115,54.797,45.518
116,54.797,47.855
117,54.797,47.12
118,54.797,47.815
119,54.797,46.735
120,54.797,46.63
121,54.797,45.851
122,54.797,48.14
123,54.797,48.3
124,54.797,46.18
125,54.797,47.307
126,54.797,42.237
127,54.797,41.004
128,54.797,46.958
129,54.797,45.946
130,54.797,46.89
131,54.797,47.393
132,54.797,45.486
133,54.797,47.79
134,54.797,46.468
135,54.797,47.56
136,54.797,48.84
137,54.797,48.176
138,54.797,42.799
139,54.797,43.513
140,54.797,46.032
141,54.797,45.255
142,54.797,46.018
143,54.797,43.678
144,54.797,44.469
145,54.797,42.971
146,55.822,40.19
147,55.822,45.023
148,55.822,44.174
149,55.822,44.932
150,55.822,41.343
151,55.822,45.628
152,55.822,45.15
153,55.822,43.853
154,55.822,43.748
155,55.822,43.491
156,55.822,43.447
157,55.822,41.552
158,55.822,46.496
159,55.822,44.917
160,55.822,45.124
161,55.822,45.901
162,55.895,43.227
163,55.895,44.107
164,55.895,44.363
165,55.895,44.213
166,55.895,42.951
167,55.895,41.286
168,55.895,40.166
169,55.895,45.596
170,55.895,47.087
171,55.895,46.978
172,55.895,43.477
173,55.895,44.126
174,55.895,44.318
175,55.895,44.835
176,55.895,45.398
177,55.895,35.484
178,55.895,43.26
179,55.895,44.509
180,55.895,43.623
181,55.895,42.932
182,55.895,37.445
183,55.895,41.233
184,55.895,43.973
185,55.895,43.829
186,55.895,42.195
187,55.933,41.268
188,55.933,38.846
189,55.933,42.007
190,55.933,42.902
191,55.933,40.99
192,55.933,39.396
193,55.933,38.662
194,55.933,38.541
195,55.933,36.957
196,55.933,37.575
197,55.933,38.387
198,55.933,40.244
199,55.933,41.769
200,55.933,43.057
201,55.933,41.793
202,55.933,44.17
203,55.933,44.073
204,55.933,39.417
205,55.933,42.914
206,55.933,45.945
207,55.933,46.136
208,55.933,47.61
209,55.933,46.916
210,55.933,44.863
211,55.933,47.651
212,55.933,46.536
213,55.933,47.438
214,55.933,47.388
215,56.117,48.099
216,56.117,48.234
217,56.117,48.084
218,56.117,44.154
219,56.117,43.399
220,56.117,44.983
221,56.117,46.136
222,56.117,45.959
223,56.117,45.918
224,56.434,43.359
225,56.434,42.589
226,56.434,41.318
227,56.434,46.334
228,56.434,45.268
229,56.434,40.11
230,56.434,40.205
231,58.397,44.794
232,58.397,45.431
233,58.397,44.456
234,58.397,44.881
235,58.397,47.783
236,58.397,47.005
237,58.397,46.278
238,58.397,47.083
239,58.397,46.776
240,58.397,47.374
241,58.397,46.705
242,58.397,48.563
243,58.397,46.169
244,58.397,47.508
245,58.397,44.536
246,58.397,46.972
247,58.397,40.938
248,58.397,48.669
249,58.397,44.05
250,58.397,43.326
251,58.397,46.419
252,58.397,45.579
253,58.397,42.455
254,58.397,47.902
255,58.397,49.423
256,58.397,49.089
257,58.397,43.642
258,58.397,47.009
259,58.397,44.503
260,58.397,44.863
261,58.397,47.456
262,58.397,47.321
263,58.397,48.088
264,58.397,42.627
265,58.397,42.793
266,58.397,49.408
267,58.397,48.435
268,58.397,47.955
269,58.397,49.557
270,58.397,49.591
271,58.397,47.264
272,58.397,38.838
273,58.397,45.655
274,58.397,44.359
275,58.397,43.108
276,58.397,48.605
277,58.397,45.192
278,58.397,42.235
279,58.397,42.618
280,58.397,44.997
281,58.397,44.96
282,58.397,48.851
283,58.397,45.284
284,58.397,44.186
285,58.397,40.318
286,58.397,46.622
287,58.397,46.892
288,58.397,47.219
289,58.397,45.653
290,58.397,43.576
291,58.397,45.69
292,58.397,47.07
293,58.397,47.751
294,58.397,46.32
295,58.397,47.262
296,58.397,46.613
297,58.397,47.737
298,58.397,42.123
299,58.397,46.493
300,58.397,46.981
301,58.397,48.25
302,58.397,46.126
303,58.397,48.136
304,58.397,47.84
305,58.397,45.525
306,58.397,40.668
307,58.397,47.851
308,58.397,47.906
309,58.397,48.419
310,58.397,48.08
311,58.397,47.754
312,58.397,48.446
313,58.397,45.084
314,58.397,47.171
315,58.397,47.755
316,58.397,42.981
317,58.397,44.704
318,58.397,42.015
319,58.397,48.264
320,58.397,47.446
321,58.397,47.798
322,58.397,48.699
323,58.397,45.586
324,58.397,48.941
325,58.397,47.054
326,58.397,47.654
327,58.397,47.828
328,58.397,47.75
329,58.397,47.503
330,58.397,47.837
331,58.397,42.813
332,58.397,46.076
333,58.397,46.606
334,58.397,47.716
335,58.397,47.268
336,58.397,46.058
337,58.397,47.365
338,58.397,47.325
339,58.397,48.608
340,58.397,48.656
341,58.397,48.573
342,58.397,41.546
343,58.397,38.797
344,58.397,42.272
345,58.397,44.161
346,58.397,45.016
347,58.397,48.588
348,58.397,47.655
349,58.397,47.553
350,58.397,44.794
351,58.397,46.398
352,58.397,43.097
353,58.397,38.917
354,58.397,46.393
355,58.397,39.376
356,58.397,43.555
357,58.397,37.967
358,58.397,41.726
359,58.397,37.617
360,58.397,37.572
361,58.397,39.63
362,58.397,41.721
363,58.397,37.909
364,58.397,44.783
365,58.397,48.061
366,58.397,48.151
367,58.397,45.072
368,58.397,42.745
369,58.397,48.15
370,58.397,46.728
371,58.397,45.209
372,58.397,44.769
373,58.397,47.778
374,58.397,48.031
375,58.397,46.941
376,58.397,45.714
377,58.397,44.205
378,58.397,40.527
379,58.397,46.683
380,58.397,46.182
381,58.397,46.77
382,58.397,44.284
383,58.397,46.598
384,58.397,44.876
385,58.397,44.235
386,58.397,41.342
387,58.397,45.056
388,58.397,45.247
389,58.397,47.094
390,58.397,45.635
391,58.397,44.353
392,58.397,46.37
393,58.397,47.456
394,58.707,47.31
395,58.707,46.346
396,58.707,41.973
397,58.707,46.526
398,58.707,47.076
399,58.707,41.01
400,58.707,45.516
401,58.707,45.806
402,58.707,40.888
403,58.707,46.221
404,58.707,46.391
405,58.707,46.433
406,58.707,39.272
407,58.707,47.612
408,58.707,43.529
409,58.707,45.278
410,58.707,45.085
411,58.707,42.406
412,58.707,45.002
413,58.707,45.964
414,58.707,42.508
415,58.707,44.581
416,58.707,44.041
417,58.707,46.024
