iteration,fitness,mean fitness
0,0,0.0
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
18,0,0.0
19,0,0.0
20,0,0.0
21,0,0.0
22,0,0.0
23,0,0.0
24,0,0.0
25,0,0.0
26,5.291,0.265
27,5.291,0.265
28,5.291,0.265
29,5.291,0.265
30,5.291,0.265
31,5.291,0.265
32,5.291,0.265
33,5.291,0.265
34,5.291,0.265
35,5.291,0.265
36,5.291,0.421
37,5.291,0.265
38,5.291,0.265
39,5.291,0.265
40,5.291,0.265
41,5.291,0.265
42,5.291,0.265
43,5.291,0.265
44,5.291,0.265
45,5.291,0.265
46,6.069,0.568
47,11.067,1.192
48,11.067,1.508
49,11.067,0.553
50,11.067,0.553
51,11.469,1.45
52,30.683,2.444
53,30.683,2.391
54,30.683,1.888
55,30.683,3.514
56,30.683,2.0
57,30.683,3.53
58,30.683,1.711
59,30.683,1.534
60,30.683,1.534
61,30.683,2.462
62,30.683,2.717
63,30.683,1.78
64,30.683,2.104
65,30.683,2.795
66,30.683,1.534
67,30.683,2.366
68,30.683,1.534
69,30.683,1.534
70,30.683,1.768
71,30.683,1.534
72,30.683,3.12
73,30.683,3.03
74,30.683,1.939
75,30.683,3.042
76,30.683,1.93
77,31.747,3.276
78,31.747,3.71
79,31.747,1.587
80,31.747,2.702
81,31.747,2.157
82,31.747,2.125
83,31.747,1.849
84,32.743,5.353
85,32.743,1.799
86,32.743,1.637
87,32.743,3.431
88,46.116,6.116
89,46.116,2.865
90,46.116,2.504
91,50.306,6.513
92,50.306,7.303
93,50.306,2.996
94,50.306,3.46
95,50.306,3.791
96,50.306,4.38
97,50.306,3.039
98,50.306,4.066
99,50.306,7.145
