iteration,fitness,mean fitness
0,46.041,23.056
1,47.29,21.287
2,47.29,28.992
3,49.399,23.024
4,50.518,30.718
5,50.518,21.877
6,50.518,32.444
7,50.518,32.558
8,50.518,29.936
9,52.741,38.59
10,52.741,38.332
11,52.741,42.553
12,52.741,44.493
13,52.741,42.656
14,52.741,44.228
15,52.741,43.202
16,52.741,42.459
17,52.741,41.8
18,52.741,44.401
19,52.741,43.088
20,52.741,43.414
21,52.741,45.144
22,52.741,45.479
23,52.741,45.582
24,52.741,45.862
25,53.541,45.658
26,53.541,43.529
27,53.541,45.886
28,53.541,45.579
29,53.541,42.834
30,53.541,44.275
31,53.541,46.565
32,53.541,45.089
33,53.541,46.181
34,53.541,45.46
35,53.541,43.785
36,53.541,44.989
37,53.541,46.163
38,53.541,46.173
39,53.7,46.31
40,54.208,45.945
41,54.208,40.766
42,54.208,43.982
43,54.208,45.262
44,54.208,46.637
45,54.208,46.139
46,54.208,46.362
47,54.208,44.858
48,54.208,47.06
49,54.208,46.555
50,54.208,45.504
51,54.208,46.137
52,54.208,46.424
53,54.295,47.12
54,54.295,44.643
55,54.295,41.969
56,54.295,45.304
57,54.295,41.427
58,54.517,44.486
59,54.517,43.339
60,54.517,47.768
61,54.517,45.616
62,54.517,44.77
63,54.517,45.188
64,54.517,46.24
65,54.517,46.742
66,54.517,45.292
67,54.517,43.378
68,54.517,46.625
69,54.517,45.367
70,54.517,45.028
71,54.517,42.859
72,54.517,42.041
73,54.517,45.172
74,54.517,44.492
75,54.517,45.259
76,54.517,46.441
77,54.517,41.675
78,54.517,45.482
79,54.517,40.322
80,54.517,41.308
81,54.517,48.011
82,54.517,47.447
83,54.517,45.928
84,54.517,46.314
85,54.517,44.39
86,54.517,45.542
87,54.517,46.919
88,54.517,45.592
89,54.517,44.829
90,54.517,48.181
91,54.517,46.482
92,54.517,41.362
93,54.517,42.382
94,54.517,46.441
95,54.517,47.696
96,54.517,44.86
97,54.517,46.662
98,54.517,46.834
99,54.517,46.712
100,54.517,45.447
101,54.517,46.004
102,54.517,44.264
103,54.517,44.543
104,54.517,42.58
105,54.517,44.882
106,54.517,46.28
107,54.517,47.994
108,54.517,43.08
109,54.517,44.346
110,54.517,42.482
111,54.517,43.048
112,54.517,37.796
113,54.517,42.021
114,54.517,41.419
115,54.517,46.869
116,55.142,47.418
117,55.142,43.739
118,55.142,44.011
119,55.432,47.048
120,55.432,48.03
121,55.432,46.188
122,55.432,43.197
123,55.432,38.553
124,55.432,44.039
125,55.632,46.069
126,55.632,42.546
127,55.635,45.238
128,55.635,43.203
129,55.635,42.433
130,56.692,40.542
131,56.692,39.711
132,56.692,43.494
133,56.692,41.948
134,56.692,44.989
135,56.692,43.386
136,56.692,44.837
137,56.692,45.685
138,56.692,46.232
139,56.692,44.99
140,56.692,45.832
141,56.692,42.983
142,56.692,45.348
143,56.692,45.158
144,56.692,43.479
145,56.692,42.85
146,56.692,44.549
147,56.692,45.017
148,56.692,45.156
149,56.692,43.108
150,56.692,40.827
151,56.692,45.815
152,56.856,44.852
153,56.856,45.986
154,56.856,41.211
155,56.856,43.741
156,56.856,44.084
157,56.856,41.187
158,56.856,40.542
159,56.856,39.274
160,56.856,43.947
161,56.856,44.401
162,56.856,38.92
163,56.856,43.601
164,56.856,42.2
165,56.856,42.091
166,56.856,41.805
167,56.856,41.286
168,56.856,41.371
169,56.856,43.144
170,56.856,42.766
171,56.856,45.533
172,56.856,44.883
173,56.856,45.827
174,56.856,45.784
175,56.856,44.787
176,58.328,43.617
177,58.328,43.664
178,58.328,45.257
179,58.328,43.109
180,58.328,42.465
181,58.328,44.936
182,58.328,43.22
183,58.328,44.378
184,58.328,45.907
185,58.328,43.332
186,58.328,46.126
187,58.328,45.763
188,59.518,46.469
189,59.518,46.243
190,59.518,45.061
191,59.518,45.219
192,59.518,46.119
193,59.518,45.77
194,59.518,42.701
195,59.518,40.577
196,59.518,42.586
197,59.518,42.026
198,59.518,42.158
199,59.518,45.024
