iteration,fitness
0,38.001
1,47.453
2,50.845
3,51.92
4,51.92
5,51.92
6,51.92
7,51.92
8,51.92
9,51.92
10,51.92
11,51.92
12,51.92
13,51.92
14,51.92
15,51.92
16,52.908
17,52.908
18,52.908
19,52.908
20,52.908
21,52.908
22,52.908
23,53.192
24,53.192
25,53.192
26,53.192
27,53.192
28,53.192
29,53.192
30,53.192
31,53.192
32,53.192
33,53.192
34,53.192
35,53.192
36,53.192
37,53.192
38,53.192
39,54.26
40,54.26
41,54.26
42,54.613
43,54.613
44,55.156
45,58.298
46,58.536
47,58.536
48,58.536
49,58.536
50,58.536
51,58.536
52,58.536
53,58.536
54,58.536
55,58.536
56,58.536
57,58.536
58,58.536
59,58.536
60,58.536
61,58.536
62,58.536
63,58.536
64,58.536
65,58.536
66,58.536
67,58.536
68,58.536
69,58.536
70,58.536
71,58.536
72,58.893
73,58.893
74,58.893
75,58.893
76,58.893
77,58.893
78,58.893
79,58.893
80,58.893
81,58.893
82,58.893
83,58.893
84,58.893
85,58.893
86,58.893
87,58.893
88,58.893
89,58.893
90,58.893
91,58.893
92,58.893
93,58.893
94,58.893
95,58.893
96,58.893
97,58.893
98,58.893
99,58.893
100,58.893
101,58.893
102,59.258
103,59.258
104,59.258
105,59.258
106,59.258
107,59.258
108,59.258
109,59.258
110,59.258
111,59.258
112,59.258
113,59.258
114,59.258
115,59.258
116,59.258
117,59.258
118,60.089
119,60.089
120,60.089
121,60.089
122,60.089
123,60.089
124,60.089
125,60.089
126,60.089
127,60.089
128,60.089
129,60.089
130,60.089
131,60.089
132,60.089
133,60.089
134,60.089
135,60.089
136,60.089
137,60.089
138,60.089
139,60.089
140,60.089
141,60.175
142,60.175
143,60.175
144,60.175
145,60.175
146,60.175
147,60.175
148,60.175
149,60.175
150,60.175
151,60.175
152,60.175
153,60.175
154,60.175
155,60.175
156,60.175
157,60.175
158,60.175
159,60.175
160,60.175
161,60.175
162,60.175
163,60.175
164,60.175
165,60.175
166,60.175
167,60.175
168,60.175
169,60.175
170,60.175
171,60.175
172,60.175
173,60.175
174,60.175
175,60.175
176,60.175
177,60.175
178,60.175
179,60.175
180,60.175
181,60.175
182,60.175
183,60.175
184,60.175
185,60.175
186,60.175
187,60.175
188,60.175
189,60.175
190,60.175
191,60.175
192,60.175
193,60.175
194,60.175
195,60.175
196,60.175
197,60.175
198,60.175
199,60.175
200,60.175
201,60.175
202,60.175
