iteration,fitness
0,46.322
1,50.737
2,50.737
3,50.737
4,52.884
5,52.884
6,52.884
7,55.84
8,55.84
9,55.84
10,55.84
11,55.84
12,55.84
13,55.84
14,55.84
15,55.84
16,55.84
17,55.84
18,56.043
19,56.043
20,56.043
21,56.043
22,56.043
23,66.578
24,66.578
25,66.578
26,66.578
27,66.578
28,66.578
29,66.578
30,66.578
31,66.578
32,83.999
33,83.999
34,83.999
35,83.999
36,83.999
37,83.999
38,83.999
39,83.999
40,83.999
41,83.999
42,83.999
43,83.999
44,83.999
45,83.999
46,83.999
47,83.999
48,83.999
49,83.999
50,83.999
51,83.999
52,83.999
53,83.999
54,83.999
55,83.999
56,83.999
57,83.999
58,83.999
59,83.999
60,83.999
61,83.999
62,83.999
63,83.999
64,83.999
65,83.999
66,83.999
67,83.999
68,83.999
69,83.999
70,83.999
71,83.999
72,83.999
73,83.999
74,83.999
75,83.999
76,83.999
77,83.999
78,83.999
79,83.999
80,83.999
81,83.999
82,83.999
83,83.999
84,83.999
85,83.999
86,83.999
87,83.999
88,83.999
89,83.999
90,83.999
91,83.999
92,83.999
93,83.999
94,83.999
95,83.999
96,83.999
97,83.999
98,83.999
99,83.999
100,83.999
101,83.999
102,83.999
103,83.999
104,83.999
105,83.999
106,83.999
107,83.999
108,83.999
109,83.999
110,83.999
111,83.999
112,83.999
113,83.999
114,83.999
115,83.999
116,83.999
117,83.999
118,83.999
119,83.999
120,83.999
121,83.999
122,83.999
123,83.999
124,83.999
125,83.999
126,83.999
127,83.999
128,83.999
129,83.999
130,83.999
131,83.999
132,83.999
133,83.999
134,83.999
135,83.999
136,83.999
137,83.999
138,83.999
139,83.999
140,83.999
141,83.999
142,83.999
143,83.999
144,83.999
145,83.999
146,83.999
147,83.999
148,83.999
149,83.999
150,83.999
151,83.999
152,83.999
153,88.226
154,88.226
155,88.226
156,88.226
157,88.226
158,88.226
159,88.226
160,88.226
161,88.226
162,88.226
163,88.226
164,88.226
165,88.226
166,88.226
167,88.226
168,88.226
169,88.226
170,88.226
171,88.226
172,88.226
173,88.226
174,88.226
175,88.226
176,88.226
177,88.226
178,88.226
179,88.226
180,88.226
181,88.226
182,88.226
183,88.226
184,88.226
185,88.226
186,88.226
187,88.226
188,88.226
189,88.226
190,88.226
191,88.226
192,88.226
193,88.226
194,88.226
195,88.226
196,88.226
197,88.226
198,88.226
199,88.226
200,88.226
201,88.226
202,88.226
203,88.226
204,88.226
205,88.226
206,88.226
207,88.226
208,88.226
209,88.226
210,94.884
211,94.884
212,94.884
213,94.884
214,94.884
215,94.884
216,94.884
217,94.884
218,94.884
219,94.884
220,94.884
221,94.884
222,94.884
223,94.884
224,94.884
225,94.884
226,94.884
227,94.884
228,94.884
229,94.884
230,94.884
231,94.884
232,94.884
233,94.884
234,94.884
235,94.884
236,94.884
237,94.884
238,94.884
239,94.884
240,94.884
241,94.884
242,94.884
243,94.884
244,94.884
245,94.884
246,94.884
247,94.884
248,94.884
249,94.884
250,94.884
251,94.884
252,94.884
253,94.884
254,94.884
255,94.884
256,94.884
257,94.884
258,94.884
259,94.884
260,94.884
261,94.884
262,94.884
263,94.884
264,94.884
265,94.884
266,94.884
267,94.884
268,114.163
269,114.163
270,114.163
271,114.163
272,114.163
273,114.163
274,114.163
275,114.163
276,114.163
277,114.163
278,114.163
279,114.163
280,114.163
281,114.163
282,114.163
283,114.163
284,114.163
285,114.163
286,114.163
287,114.163
288,114.163
289,114.163
290,114.163
291,114.163
292,114.163
293,114.163
294,114.163
295,114.163
296,114.163
297,114.163
298,114.163
299,114.163
300,114.163
301,114.163
302,114.163
303,114.163
304,114.163
305,114.163
306,114.163
307,114.163
308,114.163
309,114.163
310,114.163
311,114.163
312,114.163
313,114.163
314,114.163
315,114.163
316,114.163
317,114.163
318,114.163
319,114.163
320,114.163
321,114.163
322,114.163
323,114.163
324,114.163
325,114.163
326,114.163
327,114.163
328,114.163
329,114.163
330,114.163
331,114.163
332,114.163
333,114.163
334,114.163
335,114.163
336,114.163
337,114.163
338,114.163
339,114.163
340,114.163
341,114.163
342,114.163
343,114.163
344,114.163
345,114.163
346,114.163
347,114.163
348,114.163
349,114.163
350,114.163
351,114.163
352,114.163
353,114.163
354,114.163
355,114.163
356,114.163
357,114.163
358,114.163
359,114.163
360,114.163
361,114.163
362,114.163
363,114.163
364,114.163
365,114.163
366,114.163
367,114.163
368,114.163
369,114.163
370,114.163
371,114.163
372,114.163
373,114.163
374,114.163
375,114.163
376,114.163
377,114.163
378,114.163
379,114.163
380,114.163
381,114.163
382,114.163
383,114.163
384,114.163
385,114.163
386,114.163
387,114.163
388,114.163
389,114.163
390,114.163
391,114.163
392,114.163
393,114.163
394,114.163
395,114.163
396,114.163
397,114.163
398,114.163
399,114.163
400,114.163
401,114.163
402,114.163
403,114.163
404,114.163
405,114.163
406,114.163
407,114.163
408,114.163
409,114.163
410,114.163
411,114.163
412,114.163
413,114.163
414,114.163
415,114.163
416,114.163
417,114.163
418,114.163
419,114.163
420,114.163
421,114.163
422,114.163
423,114.163
424,114.163
425,114.163
426,114.163
427,114.163
428,114.163
429,114.163
430,114.163
431,114.163
432,114.163
433,114.163
434,114.163
435,114.163
436,114.163
437,114.163
438,114.163
439,114.163
440,114.163
441,114.163
442,114.163
443,114.163
444,114.163
445,114.163
446,114.163
447,114.163
448,114.163
449,114.163
450,114.163
451,114.163
452,114.163
453,114.163
454,114.163
455,114.163
456,114.163
457,114.163
458,114.163
459,114.163
460,114.163
461,114.163
462,114.163
463,114.163
464,114.163
465,114.163
466,114.163
467,114.163
468,114.163
469,114.163
470,114.163
471,114.163
472,114.163
473,114.163
474,114.163
475,114.163
476,114.163
477,114.163
478,114.163
479,114.163
480,114.163
481,114.163
482,114.163
483,114.163
484,114.163
485,114.163
486,114.163
487,114.163
488,114.163
489,114.163
490,114.163
491,114.163
492,114.163
493,114.163
494,114.163
495,114.163
496,114.163
497,114.163
498,114.163
